markdown_file,line_number,section_context_snippet,chosen_image_rel_url,similarity_score
key_concepts.md,5,# Key Concepts This section includes the key concepts that will help the users better understand Observability in DataOS...,,0.4880
index.md,6,# Observability This documentation provides a comprehensive guide that explains how to set up and use Observability in D...,,0.5809
usecase.md,10,# Observability Use Case: Resolving CPU Limit Breach on Cluster Resource This document describes a real-world example of...,,0.5498
usecase.md,176,"7. Once defined, apply the Pager Resource using the command below. ```bash dataos-ctl resource apply -f /home/pod-cpu-li...",,0.5349
usecase.md,185,"## Investigating the CPU spike in Workbench Upon receiving the alert, the user turned to the Operations App to check on ...",/products/data_product/observability/usecase/usecase_chat_testing_microsoft_teams_search.png,0.6975
usecase.md,193,(1) Chat | testing | Microsoft Teams Q Search (Ctrl+Alt+E) @ testing Posts Files Notes & Unknown user 12:54 fo' alert......,/products/data_product/observability/usecase/usecase_chat_testing_microsoft_teams_search.png,0.6360
usecase.md,258,```bash INFO[0000] 🛠 apply... INFO[0000] 🔧 applying(public) mycluster01:v1:cluster... INFO[0001] 🔧 applying(public) mycl...,/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6587
alerts/alerts_resource_status_change.md,118,6. Apply the Pager Resource using the command below. ```bash dataos-ctl resource apply -f status-alert-pager.yaml ``` 7....,,0.3734
dashboards/k8_cluster_infrastructure_dashboard.md,16,This document provides insights for interpreting and responding to the metrics shown in the Kubernetes Cluster Infrastru...,/products/data_product/observability/dashboards/infra/infra_home_dashboards_infrastructure_cluster_infrastructure_dup.png,0.6497
dashboards/k8_cluster_infrastructure_dashboard.md,32,- Certificates - Workloads - Secrets # Exploring the Metrics Users can explore the Prometheus query used to power the me...,,0.5781
dashboards/k8_cluster_infrastructure_dashboard.md,36,# Exploring the Metrics Users can explore the Prometheus query used to power the metrics visualized in the dashboard. To...,/products/data_product/observability/cpu/depot/depot_search_jump_ctrlk_home_explore_dup.png,0.6328
dashboards/k8_cluster_infrastructure_dashboard.md,40,1. Hover over any graph that you want to explore. ![image.png](attachment:4ce44cde-6af1-4f27-8e6d-9104e364ac85:image.png...,,0.5932
dashboards/k8_cluster_infrastructure_dashboard.md,47,"3. On clicking the ‘Explore’ option, an explore interface will open, where you can see the query used to derive those me...",/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_count_1210.png,0.6422
dashboards/k8_cluster_infrastructure_dashboard.md,132,"This metric aggregates all types of workload controllers such as Deployments, DaemonSets, StatefulSets, and ReplicaSets....",/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_count_1210.png,0.6366
dashboards/k8_cluster_infrastructure_dashboard.md,205,💡 **Best Practice:** Set up alerts for node status changes and use `kubectl describe node ` for root cause analysis. ## ...,/products/data_product/observability/dashboards/infra/infra_kubernetes_cluster_overview_taint_nodes.png,0.6438
dashboards/k8_cluster_infrastructure_dashboard.md,270,"``` Real: sum(rate(container_cpu_usage_seconds_total[5m])) Requests: sum(kube_pod_container_resource_requests{unit=""core...",/products/data_product/observability/cpu/workflow/workflow_aggregates_states_time_slices_type.png,0.6953
dashboards/k8_cluster_infrastructure_dashboard.md,289,"Requests: sum(kube_pod_container_resource_requests{unit=""byte""}) / sum(machine_memory_bytes) * 100 Limits: sum(kube_pod_...",/products/data_product/observability/cpu/workflow/workflow_aggregates_states_time_slices_type.png,0.7033
dashboards/k8_cluster_infrastructure_dashboard.md,309,"This metric identifies whether any node is experiencing memory pressure, which could result in pods being evicted. A val...",/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.7103
dashboards/k8_cluster_infrastructure_dashboard.md,332,This panel displays the absolute values for disk space usage and capacity in the cluster. - **Used:** This is the actual...,/products/data_product/observability/cpu/depot/depot_thirdpartyss0_details_usage_logs_manifest.png,0.6355
dashboards/k8_cluster_infrastructure_dashboard.md,411,"count(kube_pod_container_status_waiting_reason{reason=~""ImagePullBackOff|ErrImagePull""}) ``` This Prometheus query count...",/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_count_1210.png,0.7299
dashboards/k8_cluster_infrastructure_dashboard.md,425,"rate(kube_pod_container_status_running{namespace=~"".*""}[$__rate_interval]) ) ``` This query calculates the rate of runni...",/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_count_1210.png,0.6607
dashboards/k8_cluster_infrastructure_dashboard.md,427,``` This query calculates the rate of running containers per namespace in Kubernetes. It uses the `'rate'` function to m...,/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_count_1210.png,0.8045
dashboards/k8_cluster_infrastructure_dashboard.md,512,This Prometheus query calculates the number of failed CONNECT requests to the Kubernetes API server over a 1-minute inte...,,0.5800
dashboards/k8_cluster_infrastructure_dashboard.md,526,"```bash topk(10, cluster_quantile:apiserver_request_duration_seconds:histogram_quantile{job=~"".+"",quantile=""0.9"", subres...",/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6095
dashboards/k8_cluster_infrastructure_dashboard.md,530,This Prometheus query uses the `topk(10)` function to identify and display the 10 API requests with the highest latency ...,/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6385
dashboards/k8_cluster_infrastructure_dashboard.md,551,This data helps visualize how long it takes to download container images of different sizes during pod initialization. A...,/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_count_1210.png,0.6138
dashboards/k8_cluster_infrastructure_dashboard.md,572,"In the dashboard, all nodes report `0` container network errors. This indicates that the container network layer is stab...",,0.5783
dashboards/k8_cluster_infrastructure_dashboard.md,588,"- In the current state, the fallback usage count is consistently `0`, which is a strong signal that primary service endp...",/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6035
